Fréquence (Hz)	Niveau (dB)
1515,399170	-50,131031
1518,090820	-58,217651
1520,782471	-58,512470
1523,474121	-48,763073
1526,165771	-54,972092
1528,857422	-48,220848
1531,549072	-49,779465
1534,240723	-52,035297
1536,932373	-50,714321
1539,624023	-52,318455
1542,315674	-58,673046
1545,007324	-64,134659
1547,698975	-55,262619
1550,390625	-53,063595
1553,082275	-54,220779
1555,773926	-56,623825
1558,465576	-58,230862
1561,157227	-54,609627
1563,848877	-52,732597
1566,540527	-62,060970
1569,232178	-65,425613
1571,923828	-59,284969
1574,615479	-54,986343
1577,307129	-53,354698
1579,998779	-49,862640
1582,690430	-52,995274
1585,382080	-61,446339
1588,073730	-54,995834
1590,765381	-52,944389
1593,457031	-56,699440
1596,148682	-52,899654
1598,840332	-51,567898
1601,531982	-58,346462
1604,223633	-58,764061
1606,915283	-53,837486
1609,606934	-53,433247
1612,298584	-56,050400
1614,990234	-58,163574
1617,681885	-58,548210
1620,373535	-63,587143
1623,065186	-56,347130
1625,756836	-57,330215
1628,448486	-53,173893
1631,140137	-49,992825
1633,831787	-54,424049
1636,523438	-57,300922
1639,215088	-55,826923
1641,906738	-55,704651
1644,598389	-59,764519
1647,290039	-64,191971
1649,981689	-59,259300
1652,673340	-59,630795
1655,364990	-56,687744
1658,056641	-51,176254
1660,748291	-51,022266
1663,439941	-50,632526
1666,131592	-51,771580
1668,823242	-57,437893
1671,514893	-56,151329
1674,206543	-53,891579
1676,898193	-54,734566
1679,589844	-53,465855
1682,281494	-54,444187
1684,973145	-59,637848
1687,664795	-59,908062
1690,356445	-59,135029
1693,048096	-60,905235
1695,739746	-57,543938
1698,431396	-61,462212
1701,123047	-61,132641
1703,814697	-55,401047
1706,506348	-54,840866
1709,197998	-59,446190
1711,889648	-62,013725
1714,581299	-59,454819
1717,272949	-61,963432
1719,964600	-58,112549
1722,656250	-59,314617
1725,347900	-56,654415
1728,039551	-54,950073
1730,731201	-56,049137
1733,422852	-60,555389
1736,114502	-54,701508
1738,806152	-57,371635
1741,497803	-55,018124
1744,189453	-53,312508
1746,881104	-54,461811
1749,572754	-56,651276
1752,264404	-60,214123
1754,956055	-58,136044
1757,647705	-58,941460
1760,339355	-62,572479
1763,031006	-59,643013
1765,722656	-55,100368
1768,414307	-54,881184
1771,105957	-56,175232
1773,797607	-52,417107
1776,489258	-49,525928
1779,180908	-52,515072
1781,872559	-59,501244
1784,564209	-56,432728
1787,255859	-56,493740
1789,947510	-52,204525
1792,639160	-51,471577
1795,330811	-55,469818
1798,022461	-57,799263
1800,714111	-54,574242
1803,405762	-53,118530
1806,097412	-54,102283
1808,789062	-55,902943
1811,480713	-52,511482
1814,172363	-50,753510
1816,864014	-49,703510
1819,555664	-52,530312
1822,247314	-54,551945
1824,938965	-52,481911
1827,630615	-52,805717
1830,322266	-48,170517
1833,013916	-49,333008
1835,705566	-50,923256
1838,397217	-48,037926
1841,088867	-46,277859
1843,780518	-51,896847
1846,472168	-39,614059
1849,163818	-32,874226
1851,855469	-33,172321
1854,547119	-39,385063
1857,238770	-19,289148
1859,930420	-11,970019
1862,622070	-16,293005
1865,313721	-34,222137
1868,005371	-38,470879
1870,697021	-41,491779
1873,388672	-43,136063
1876,080322	-49,565502
1878,771973	-48,802242
1881,463623	-54,515911
1884,155273	-50,887081
1886,846924	-49,680641
1889,538574	-51,809975
1892,230225	-53,210030
1894,921875	-64,070168
1897,613525	-53,440243
1900,305176	-57,969284
1902,996826	-59,699745
1905,688477	-56,338531
1908,380127	-57,401833
1911,071777	-61,746975
1913,763428	-54,432236
1916,455078	-50,064491
1919,146729	-50,938145
1921,838379	-53,217052
1924,530029	-60,283787
1927,221680	-58,552868
1929,913330	-58,255089
1932,604980	-57,595592
1935,296631	-63,280029
1937,988281	-61,076202
1940,679932	-60,778774
1943,371582	-57,793900
1946,063232	-54,596020
1948,754883	-56,529903
1951,446533	-59,782074
1954,138184	-54,988029
1956,829834	-54,728615
1959,521484	-55,845062
1962,213135	-56,467834
1964,904785	-58,201004
1967,596436	-61,053631
1970,288086	-57,335682
1972,979736	-56,850632
1975,671387	-58,886169
1978,363037	-60,589111
1981,054688	-58,948635
1983,746338	-56,895607
1986,437988	-59,289276
1989,129639	-61,599247
1991,821289	-62,146255
1994,512939	-64,175507
1997,204590	-65,133278
1999,896240	-63,065563
2002,587891	-58,243313
2005,279541	-60,913376
2007,971191	-60,765018
2010,662842	-55,187901
2013,354492	-56,503738
2016,046143	-59,312820
2018,737793	-61,093391
2021,429443	-62,894447
2024,121094	-56,202381
2026,812744	-52,669662
2029,504395	-55,238132
2032,196045	-56,004219
2034,887695	-55,983456
2037,579346	-55,373158
2040,270996	-55,216579
2042,962646	-57,570759
2045,654297	-65,250710
2048,345947	-62,613468
2051,037598	-63,072670
2053,729248	-59,719517
2056,420898	-58,764931
2059,112549	-56,869755
2061,804199	-60,523365
2064,495850	-56,802776
2067,187500	-56,374943
2069,879150	-59,342175
2072,570801	-60,359203
2075,262451	-57,531219
2077,954102	-55,698586
2080,645752	-59,989635
2083,337402	-59,213566
2086,029053	-55,898434
2088,720703	-56,445995
2091,412354	-56,785824
2094,104004	-58,934807
2096,795654	-60,478111
2099,487305	-67,401741
2102,178955	-57,634628
2104,870605	-62,671814
2107,562256	-64,714493
2110,253906	-58,857433
2112,945557	-56,915771
2115,637207	-54,766426
2118,328857	-58,753269
2121,020508	-56,368217
2123,712158	-54,012524
2126,403809	-50,249531
2129,095459	-52,759865
2131,787109	-55,073521
2134,478760	-58,434868
2137,170410	-57,541161
2139,862061	-54,831959
2142,553711	-53,440639
2145,245361	-51,527885
2147,937012	-49,212154
2150,628662	-56,773876
2153,320312	-53,494019
2156,011963	-49,753201
2158,703613	-45,371059
2161,395264	-46,597149
2164,086914	-52,183727
2166,778564	-46,710728
2169,470215	-45,924992
2172,161865	-48,084549
2174,853516	-48,733112
2177,545166	-52,727737
2180,236816	-50,602478
2182,928467	-48,186504
2185,620117	-44,744438
2188,311768	-46,189468
2191,003418	-52,073669
2193,695068	-42,984901
2196,386719	-43,825096
2199,078369	-48,814159
2201,770020	-41,256523
2204,461670	-40,095753
2207,153320	-48,623806
2209,844971	-42,567276
2212,536621	-35,409061
2215,228271	-33,376080
2217,919922	-32,347412
2220,611572	-34,315540
2223,303223	-36,536354
2225,994873	-27,471106
2228,686523	-17,010942
2231,378174	-5,162805
2234,069824	-6,522632
2236,761475	-19,813643
2239,453125	-32,127213
2242,144775	-40,676403
2244,836426	-39,510265
2247,528076	-40,858089
2250,219727	-44,177734
2252,911377	-43,912861
2255,603027	-49,501266
2258,294678	-44,684452
2260,986328	-46,354237
2263,677979	-51,529686
2266,369629	-48,964996
2269,061279	-45,186356
2271,752930	-46,608902
2274,444580	-48,030563
2277,136230	-51,701130
2279,827881	-50,564030
2282,519531	-51,383591
2285,211182	-53,455379
2287,902832	-53,128231
2290,594482	-51,636929
2293,286133	-50,070316
2295,977783	-55,382206
2298,669434	-48,753551
2301,361084	-45,186787
2304,052734	-50,225910
2306,744385	-61,347481
2309,436035	-52,405594
2312,127686	-53,750252
2314,819336	-51,266315
2317,510986	-50,785149
2320,202637	-48,963696
2322,894287	-45,246857
2325,585938	-47,946846
2328,277588	-52,809395
2330,969238	-56,618813
2333,660889	-50,179802
2336,352539	-50,397583
2339,044189	-54,377308
2341,735840	-51,147564
2344,427490	-54,297287
2347,119141	-57,535744
2349,810791	-53,624397
2352,502441	-55,342293
2355,194092	-56,107327
2357,885742	-59,024139
2360,577393	-60,348064
2363,269043	-59,314003
2365,960693	-57,413158
2368,652344	-58,245762
2371,343994	-61,560856
2374,035645	-57,159615
2376,727295	-57,454868
2379,418945	-56,290340
2382,110596	-53,868813
2384,802246	-59,398014
2387,493896	-60,997269
2390,185547	-61,624718
2392,877197	-61,045609
2395,568848	-58,370964
2398,260498	-60,172504
2400,952148	-64,436455
2403,643799	-59,656036
2406,335449	-58,556599
2409,027100	-57,535618
2411,718750	-59,830986
2414,410400	-62,427853
2417,102051	-61,354904
2419,793701	-60,035988
2422,485352	-64,524673
2425,177002	-63,520214
2427,868652	-54,871407
2430,560303	-54,644154
2433,251953	-55,024784
2435,943604	-53,729107
2438,635254	-58,929031
2441,326904	-54,138306
2444,018555	-58,301067
2446,710205	-57,655708
2449,401855	-60,523582
2452,093506	-58,310669
2454,785156	-55,388367
2457,476807	-61,446522
2460,168457	-62,659588
2462,860107	-63,845573
2465,551758	-65,676552
2468,243408	-58,627697
2470,935059	-57,431404
2473,626709	-57,826557
2476,318359	-56,399586
2479,010010	-59,734867
2481,701660	-65,315041
2484,393311	-59,988045
2487,084961	-63,332001
2489,776611	-60,968922
2492,468262	-57,378307
2495,159912	-57,335114
2497,851562	-57,152271
2500,543213	-57,331551
2503,234863	-59,926075
2505,926514	-60,146267
2508,618164	-56,458584
2511,309814	-55,518047
2514,001465	-55,932423
2516,693115	-54,148205
2519,384766	-51,984211
2522,076416	-59,305653
2524,768066	-56,876308
2527,459717	-56,839516
2530,151367	-55,498962
2532,843018	-54,103958
2535,534668	-55,187359
2538,226318	-54,838200
2540,917969	-56,264721
2543,609619	-60,706352
2546,301270	-56,460320
2548,992920	-56,955883
2551,684570	-56,307430
2554,376221	-57,462509
2557,067871	-61,050514
2559,759521	-55,032673
2562,451172	-51,813595
2565,142822	-53,956490
2567,834473	-60,186413
2570,526123	-56,210846
2573,217773	-54,144009
2575,909424	-52,525154
2578,601074	-56,896835
2581,292725	-51,469948
2583,984375	-52,252014
2586,676025	-46,837406
2589,367676	-38,037930
2592,059326	-34,225456
2594,750977	-37,519859
2597,442627	-49,350285
2600,134277	-25,760176
2602,825928	-18,667938
2605,517578	-19,612301
2608,209229	-33,027641
2610,900879	-35,666214
2613,592529	-43,948933
2616,284180	-54,125488
2618,975830	-43,925201
2621,667480	-46,179581
2624,359131	-49,670055
2627,050781	-50,167072
2629,742432	-51,430962
2632,434082	-53,533424
2635,125732	-57,527813
2637,817383	-54,885693
2640,509033	-51,819218
2643,200684	-49,808819
2645,892334	-53,673141
2648,583984	-55,661243
2651,275635	-52,746380
2653,967285	-54,972176
2656,658936	-59,055878
2659,350586	-61,686966
2662,042236	-65,945488
2664,733887	-62,147850
2667,425537	-59,902298
2670,117188	-61,337608
2672,808838	-58,624306
2675,500488	-60,884754
2678,192139	-62,855656
2680,883789	-62,137535
2683,575439	-63,645035
2686,267090	-65,080025
2688,958740	-64,970642
2691,650391	-65,270203
2694,342041	-66,649628
2697,033691	-70,084137
2699,725342	-66,464920
2702,416992	-62,872078
2705,108643	-62,163536
2707,800293	-63,850800
2710,491943	-68,904388
2713,183594	-73,968903
2715,875244	-72,141808
2718,566895	-70,325821
2721,258545	-70,072388
2723,950195	-71,489380
2726,641846	-79,289658
2729,333496	-68,851990
2732,025146	-70,022713
2734,716797	-75,116638
2737,408447	-72,692116
2740,100098	-65,420380
2742,791748	-68,121643
2745,483398	-67,620079
2748,175049	-60,028133
2750,866699	-59,010853
2753,558350	-62,947247
2756,250000	-75,759972
2758,941650	-65,830597
2761,633301	-62,214199
2764,324951	-64,186813
2767,016602	-66,264870
2769,708252	-69,774048
2772,399902	-74,469910
2775,091553	-64,967430
2777,783203	-66,207977
2780,474854	-69,613144
2783,166504	-72,761177
2785,858154	-77,169563
2788,549805	-74,869576
2791,241455	-69,795982
2793,933105	-71,565048
2796,624756	-71,092316
2799,316406	-69,154976
2802,008057	-72,794624
2804,699707	-72,933548
2807,391357	-74,136497
2810,083008	-75,636131
2812,774658	-71,497429
2815,466309	-70,330803
2818,157959	-73,478134
2820,849609	-70,134064
2823,541260	-68,529480
2826,232910	-69,618805
2828,924561	-69,677368
2831,616211	-72,335831
2834,307861	-71,858650
2836,999512	-70,581703
2839,691162	-67,545197
2842,382812	-64,184151
2845,074463	-65,214188
2847,766113	-62,436661
2850,457764	-62,637966
2853,149414	-61,757435
2855,841064	-61,290833
2858,532715	-64,196167
2861,224365	-64,644119
2863,916016	-66,560837
2866,607666	-64,249947
2869,299316	-65,675331
2871,990967	-67,850533
2874,682617	-62,968761
2877,374268	-61,197071
2880,065918	-61,192181
2882,757568	-61,007053
2885,449219	-61,495441
2888,140869	-58,494644
2890,832520	-59,647461
2893,524170	-60,526852
2896,215820	-60,733479
2898,907471	-65,092125
2901,599121	-63,093929
2904,290771	-60,598919
2906,982422	-62,230846
2909,674072	-61,120686
2912,365723	-60,218262
2915,057373	-61,069183
2917,749023	-60,301903
2920,440674	-63,212666
2923,132324	-59,933788
2925,823975	-57,061241
2928,515625	-57,988171
2931,207275	-54,770557
2933,898926	-54,417713
2936,590576	-63,443127
2939,282227	-60,247608
2941,973877	-52,645832
2944,665527	-57,201614
2947,357178	-54,305389
2950,048828	-52,641006
2952,740479	-59,918930
2955,432129	-46,089779
2958,123779	-45,501728
2960,815430	-36,074001
2963,507080	-39,511608
2966,198730	-38,103458
2968,890381	-32,677120
2971,582031	-29,972910
2974,273682	-24,777222
2976,965332	-24,920477
2979,656982	-28,758564
2982,348633	-36,558857
2985,040283	-38,581661
2987,731934	-36,331318
2990,423584	-37,608067
2993,115234	-42,139927
2995,806885	-47,922466
2998,498535	-49,404480
3001,190186	-55,767090
3003,881836	-56,646126
3006,573486	-59,560555
3009,265137	-54,715267
3011,956787	-57,450089
3014,648438	-56,553715
3017,340088	-51,725071
3020,031738	-52,588745
3022,723389	-59,908936
3025,415039	-63,469913
3028,106689	-64,724640
3030,798340	-63,332680
3033,489990	-59,359650
3036,181641	-60,095943
3038,873291	-64,057289
3041,564941	-59,119419
3044,256592	-59,797028
3046,948242	-62,635662
3049,639893	-67,619232
3052,331543	-67,295120
3055,023193	-68,274414
3057,714844	-71,294800
3060,406494	-67,250519
3063,098145	-66,201988
3065,789795	-71,772812
3068,481445	-69,327568
3071,173096	-67,543060
3073,864746	-69,674484
3076,556396	-81,397888
3079,248047	-72,822792
3081,939697	-65,114174
3084,631348	-61,002327
3087,322998	-61,552059
3090,014648	-61,044533
3092,706299	-60,897282
3095,397949	-65,259682
3098,089600	-63,219536
3100,781250	-62,164490
3103,472900	-65,397438
3106,164551	-67,509094
3108,856201	-71,781998
3111,547852	-72,588448
3114,239502	-70,595589
3116,931152	-72,119011
3119,622803	-69,163734
3122,314453	-70,046951
3125,006104	-74,139214
3127,697754	-68,362129
3130,389404	-63,457626
3133,081055	-65,491859
3135,772705	-65,476936
3138,464355	-66,489220
3141,156006	-64,397591
3143,847656	-66,459709
3146,539307	-66,341805
3149,230957	-68,180832
3151,922607	-60,636925
3154,614258	-61,166454
3157,305908	-63,256969
3159,997559	-59,413967
3162,689209	-58,403687
3165,380859	-62,428780
3168,072510	-60,116077
3170,764160	-60,184170
3173,455811	-59,788715
3176,147461	-61,178211
3178,839111	-62,701775
3181,530762	-66,759254
3184,222412	-60,419064
3186,914062	-65,058853
3189,605713	-61,563419
3192,297363	-65,066055
3194,989014	-66,277527
3197,680664	-69,470016
3200,372314	-72,746193
3203,063965	-70,644554
3205,755615	-65,986732
3208,447266	-65,091293
